Author,Year,User Rating,Reviews,Name,Price,Genre
Glenn Beck,2009,4.6,798,Arguing with Idiots: How to Stop Small Minds and Big Government,5.0,Non Fiction
Glenn Beck,2009,4.6,1365,"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",11.0,Non Fiction
Glenn Beck,2010,4.5,471,"Broke: The Plan to Restore Our Trust, Truth and Treasure",8.0,Non Fiction
Golden Books,2017,4.8,4757,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),4.0,Fiction
Greg Mortenson,2009,4.3,3319,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,11.0,Non Fiction
Greg Mortenson,2010,4.3,3319,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,11.0,Non Fiction
Harper Lee,2013,4.8,26234,To Kill a Mockingbird,7.0,Fiction
Harper Lee,2014,4.8,26234,To Kill a Mockingbird,7.0,Fiction
Harper Lee,2015,3.6,14982,Go Set a Watchman: A Novel,19.0,Fiction
Harper Lee,2015,4.8,26234,To Kill a Mockingbird,7.0,Fiction
Harper Lee,2016,4.8,26234,To Kill a Mockingbird,7.0,Fiction
Harper Lee,2019,4.8,26234,To Kill a Mockingbird,7.0,Fiction
Heidi Murkoff,2011,4.4,3341,What to Expect When You're Expecting,9.0,Non Fiction
Hillary Rodham Clinton,2017,4.6,5492,What Happened,18.0,Non Fiction
Hopscotch Girls,2019,4.8,9737,"I Am Confident, Brave & Beautiful: A Coloring Book for Girls",7.0,Non Fiction
Howard Stern,2019,4.3,5272,Howard Stern Comes Again,16.0,Non Fiction
Ian K. Smith M.D.,2013,4.1,2272,Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,6.0,Non Fiction
Ina Garten,2010,4.7,615,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",21.0,Non Fiction
Ina Garten,2012,4.8,1296,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,24.0,Non Fiction
Ina Garten,2014,4.5,1386,Make It Ahead: A Barefoot Contessa Cookbook,20.0,Non Fiction
J. D. Vance,2016,4.4,15526,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,14.0,Non Fiction
J. D. Vance,2017,4.4,15526,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,14.0,Non Fiction
J. K. Rowling,2016,4.8,13471,Harry Potter Paperback Box Set (Books 1-7),52.0,Fiction
J. K. Rowling,2019,4.9,7758,"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)",18.0,Fiction
J.K. Rowling,2012,3.3,9372,The Casual Vacancy,12.0,Fiction
J.K. Rowling,2016,4.0,23973,"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script",12.0,Fiction
J.K. Rowling,2016,4.7,4370,Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter),15.0,Fiction
J.K. Rowling,2016,4.9,10052,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)",22.0,Fiction
J.K. Rowling,2016,4.9,19622,"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)",30.0,Fiction
J.K. Rowling,2017,4.9,3146,"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)",30.0,Fiction
JJ Smith,2016,4.7,17350,10-Day Green Smoothie Cleanse,8.0,Non Fiction
James Comey,2018,4.7,5983,"A Higher Loyalty: Truth, Lies, and Leadership",3.0,Non Fiction
James Dashner,2014,4.5,10101,The Maze Runner (Book 1),8.0,Fiction
James Patterson,2009,4.6,1320,"I, Alex Cross",7.0,Fiction
